Q,sigma,delta,lambda,
q0,1,q3,0
,,,,
q3,0,q2,1
,,,,
q2,1,q3,0
,,,,
q3,1,q0,0
,,,,
q0,1,q3,0
,,,,
q3,1,q0,0
,,,,
q0,0,q1,0
,,,,
q1,0,q3,0
,,,,

,,,Rejected!!,
