Q,sigma,delta,lambda,
q0,0,q1,1
,,,,
q1,1,q1,1
,,,,
q1,0,q2,0
,,,,
q2,0,q3,1
,,,,
q3,1,q3,1
,,,,
q3,0,q4,0
,,,,
q4,0,q5,1
,,,,
q5,1,q5,1
,,,,
q5,0,q0,0
,,,,
q0,0,q1,1
,,,,
q1,1,q1,1
,,,,

,,,Accepted!!,
