Q,sigma,delta,lambda,
q0,1,q6,0
,,,,
q6,1,q6,0
,,,,
q6,1,q6,0
,,,,
q6,1,q6,0
,,,,
q6,0,q6,0
,,,,
q6,0,q6,0
,,,,
q6,1,q6,0
,,,,

,,,Rejected!!,
